Ticker,Category,System_Mode,Model_Type,Cumulative_Return,Cumulative_Return_Pct,Sharpe_Ratio,Max_Drawdown,Max_Drawdown_Pct,Directional_Accuracy,Win_Rate,Num_Trades,Final_Value
JNJ,increasing,full,hmm,-0.004363025665283203,-0.44%,-3.972,0.0151,1.51%,0.72,0.4286,22,99563.7
JNJ,increasing,full,xgboost,-0.00028556900024414065,-0.03%,-7.309,0.0051,0.51%,0.5312,0.5,11,99971.44
JNJ,increasing,quant_only,hmm,0.0,0.00%,0.0,0.0,0.00%,1.0,0.0,1,100000.0
JNJ,increasing,quant_only,xgboost,0.0,0.00%,0.0,0.0,0.00%,0.4571,0.0,0,100000.0
JNJ,increasing,llm_only,none,-0.017360740356445314,-1.74%,-1.221,0.0588,5.88%,0.75,0.25,17,98263.93
VZ,decreasing,full,hmm,0.06330487552642822,6.33%,0.39,0.0406,4.06%,0.7407,0.5,24,106330.49
VZ,decreasing,full,xgboost,-0.021298854904174803,-2.13%,-1.603,0.0364,3.64%,0.7,0.1429,25,97870.11
VZ,decreasing,quant_only,hmm,0.08735868850708008,8.74%,0.609,0.0453,4.53%,0.9167,1.0,6,108735.87
VZ,decreasing,quant_only,xgboost,-0.006753183555603027,-0.68%,-0.999,0.0339,3.39%,0.5862,0.4,14,99324.68
VZ,decreasing,llm_only,none,0.026613872489929198,2.66%,-0.092,0.0481,4.81%,0.8333,0.5,18,102661.39
F,stable,full,hmm,-0.08163907139778137,-8.16%,-0.787,0.1738,17.38%,0.8462,0.2857,25,91836.09
F,stable,full,xgboost,-0.08408345276832581,-8.41%,-1.19,0.1602,16.02%,0.5,0.2222,21,91591.65
F,stable,quant_only,hmm,0.022508748197555543,2.25%,-0.016,0.0991,9.91%,0.8056,0.1667,29,102250.87
F,stable,quant_only,xgboost,-0.0259744500541687,-2.60%,-0.757,0.0885,8.85%,0.4688,0.2,12,97402.55
F,stable,llm_only,none,-0.13995170205116272,-14.00%,-1.139,0.2061,20.61%,0.6923,0.0,26,86004.83
